"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
281,0,0,0,0,0,0,0,20240415,20241207
282,0,0,0,0,0,0,0,20240415,20241207
283,0,0,0,0,0,0,0,20240415,20241207
284,0,0,0,0,0,0,0,20240415,20241207
285,0,0,0,0,0,0,0,20240415,20241207
286,0,0,0,0,0,0,0,20240415,20241207
287,1,1,1,1,1,1,1,20240415,20241207
288,0,0,0,0,0,0,0,20240415,20241207
289,0,0,0,0,0,0,0,20240415,20241207
290,0,0,0,0,0,0,0,20240415,20241207
291,1,1,1,1,1,0,0,20240415,20241207
292,0,0,0,0,0,0,0,20240415,20241207
293,0,0,0,0,0,0,0,20240415,20241207
294,0,0,0,0,0,0,0,20240415,20241207
295,0,0,0,0,0,1,1,20240415,20241207
296,0,0,0,0,0,0,0,20240415,20241207
297,0,0,0,0,0,1,0,20240415,20241207
298,0,0,0,0,0,0,1,20240415,20241207
299,1,1,1,1,1,0,0,20240415,20241207
300,0,0,0,0,0,0,0,20240415,20241207
301,0,0,0,0,0,0,0,20240415,20241207
302,1,1,1,1,1,0,1,20240415,20241207
303,0,0,0,0,0,0,0,20240415,20241207
304,0,0,0,0,0,0,0,20240415,20241207
305,1,1,1,1,1,0,0,20240415,20241207
306,0,0,0,0,0,0,0,20240415,20241207
307,1,1,1,1,1,1,1,20240415,20241207
308,0,0,0,0,0,0,0,20240415,20241207
309,1,1,1,1,1,1,1,20240415,20241207
310,0,0,0,0,0,0,0,20240415,20241207
311,0,0,0,0,0,0,0,20240415,20241207
312,0,0,0,0,0,1,1,20240415,20241207
313,1,1,1,1,1,1,1,20240415,20241207
314,0,0,0,0,0,1,1,20240415,20241207
315,0,0,0,0,0,0,0,20240415,20241207
316,1,1,1,1,1,1,1,20240415,20241207
317,1,1,1,1,1,1,1,20240415,20241207
318,1,1,1,1,1,0,0,20240415,20241207
319,0,0,0,0,0,0,0,20240415,20241207
320,0,0,0,0,0,0,0,20240415,20241207
321,1,1,1,1,1,1,1,20240415,20241207
322,1,1,1,1,1,1,1,20240415,20241207
323,1,1,1,1,1,1,1,20240415,20241207
324,0,0,0,0,0,0,0,20240415,20241207
325,1,1,1,1,1,1,1,20240415,20241207
326,0,0,0,0,0,0,0,20240415,20241207
327,1,1,1,1,1,1,1,20240415,20241207
328,1,1,1,1,1,1,1,20240415,20241207
329,0,0,0,0,0,0,0,20240415,20241207
330,1,1,1,1,1,1,1,20240415,20241207
331,1,1,1,1,1,1,1,20240415,20241207
332,1,1,1,1,1,1,0,20240415,20241207
333,1,1,1,1,1,1,0,20240415,20241207
334,1,1,1,1,1,0,0,20240415,20241207
335,0,0,0,0,0,0,0,20240415,20241207
336,1,1,1,1,1,0,0,20240415,20241207
337,1,1,1,1,1,1,1,20240415,20241207
338,0,0,0,0,0,0,0,20240415,20241207
339,0,0,0,0,0,1,1,20240415,20241207
340,1,1,1,0,0,0,0,20240415,20241207
341,0,0,0,0,0,0,0,20240415,20241207
342,0,0,0,0,0,0,0,20240415,20241207
343,0,0,0,0,0,0,0,20240415,20241207
344,0,0,0,0,0,0,0,20240415,20241207
345,0,0,0,0,0,0,0,20240415,20241207
346,0,0,0,0,0,0,0,20240415,20241207
347,0,0,0,0,0,0,0,20240415,20241207
348,0,0,0,0,0,0,0,20240415,20241207
349,0,0,0,0,0,0,0,20240415,20241207
350,0,0,0,0,0,1,1,20240415,20241207
351,0,0,0,0,0,0,0,20240415,20241207
352,1,1,1,1,0,0,0,20240415,20241207
353,0,1,0,0,0,0,0,20240415,20241207
354,0,0,0,0,0,0,0,20240415,20241207
355,0,0,0,0,0,0,0,20240415,20241207
356,0,1,0,0,0,0,0,20240415,20241207
357,0,0,0,0,0,0,0,20240415,20241207
358,0,0,0,0,0,0,0,20240415,20241207
359,0,0,0,0,0,0,0,20240415,20241207
360,0,0,0,0,1,0,0,20240415,20241207
361,0,0,0,0,0,1,0,20240415,20241207
362,0,0,0,0,0,0,0,20240415,20241207
363,1,1,1,1,0,0,0,20240415,20241207
364,0,0,0,0,0,0,0,20240415,20241207
365,0,0,0,0,0,0,0,20240415,20241207
366,0,0,0,0,1,0,0,20240415,20241207
367,0,0,0,0,0,0,0,20240415,20241207
368,0,1,1,1,0,0,0,20240415,20241207
369,1,0,1,1,1,0,0,20240415,20241207
370,1,1,1,1,1,0,0,20240415,20241207
371,0,0,0,0,0,0,0,20240415,20241207
372,1,1,1,1,1,1,1,20240415,20241207
373,0,0,0,0,1,1,0,20240415,20241207
374,0,0,0,0,1,1,0,20240415,20241207
